Subject ID,Bacteroides,Unclassified,Faecalibacterium,Prevotella,Blautia,Bifidobacterium,Roseburia,Parabacteroides,Subdoligranulum
N032119,6217,753,44,0,1364,19,93,228,0
N032171,3334,1733,647,0,706,889,707,65,0
N032223,4185,644,671,0,307,406,614,1069,370
N032273,810,730,673,4545,215,23,86,555,109
N032294,761,2087,646,4264,113,1,70,241,304
N032344,3715,1812,1766,0,861,517,444,250,0
N032352,2851,750,552,3,836,904,671,462,0
N032396,2998,1131,596,0,3510,0,373,60,103
N032462,4194,720,1946,0,561,180,214,304,821
N032561,505,1615,267,4012,176,21,393,99,105
N032646,2175,1646,655,0,115,1334,36,540,328
N032789,2378,1762,438,0,865,0,282,22,287
N032863,5680,1502,2,0,285,141,0,251,0
N032898,3929,1104,252,0,1278,1088,122,285,0
N032936,3388,1721,249,0,1415,256,602,229,611
N033013,4891,751,880,0,471,339,197,237,111
N033079,525,1392,2091,3,1211,615,431,7,304
N033279,2042,3697,189,6,224,75,421,453,219
N033320,2588,1268,322,555,647,324,19,579,253
N033380,439,1068,1173,5243,118,60,196,52,126
N033464,1318,1625,1772,1438,184,46,240,100,227
N033514,5,2201,2,0,1409,2861,616,0,0
N033806,5342,586,1953,1,259,54,270,60,205
N033869,425,1335,826,4397,128,212,453,87,102
N033878,5011,533,220,0,823,125,107,355,0
N033882,1385,765,389,4213,569,202,72,199,174
N033959,3911,391,39,0,1008,116,238,382,23
N033988,3754,860,1475,0,380,1155,42,275,180
N034035,404,866,372,4641,246,54,238,132,277
N034288,1756,258,882,4676,114,444,24,114,120
N034306,3149,1062,0,0,1087,2634,92,184,0
N034427,1529,815,3272,0,106,75,352,18,403
N034483,6499,493,1118,4,886,64,136,181,1
N034486,1264,848,0,3598,362,188,211,154,220
N034763,5682,1034,16,0,670,162,28,253,0
N034765,2652,993,738,0,439,49,360,33,416
N034854,4399,939,0,0,598,43,60,77,0
N034857,3157,1789,766,1,482,187,1,121,0
N034884,6266,333,0,0,160,87,0,309,24
N034958,5580,922,503,3,841,129,39,82,0
N035062,5422,559,1007,1,414,163,643,281,306
N035246,1374,646,539,4649,163,199,223,295,127
N035302,666,2200,90,2,215,1235,179,33,137
N035391,3848,564,395,3,270,1078,13,1278,419
N035400,3713,1727,25,0,25,47,1,3306,12
N035415,2487,1425,1490,862,446,46,788,267,135
N035509,1741,1364,793,4,428,962,835,185,356
N035564,1947,1615,2580,1,723,733,187,122,493
N035624,654,3764,558,3,651,331,97,168,178
N035668,433,541,493,5801,199,185,45,24,219
N035715,1473,571,1631,0,437,2730,269,36,377
N035720,1904,2430,1071,55,277,251,793,164,83
N035996,1210,2483,1095,14,304,1352,302,107,455
N036085,2939,617,1452,1,995,1333,314,441,229
N036259,1863,480,318,3949,393,168,192,85,77
N036301,629,702,999,3,656,2416,337,57,860
N036418,1362,3103,1593,17,148,417,102,195,171
N036457,1180,3386,949,7,459,317,541,133,283
N036492,6076,1069,306,1,325,40,470,67,0
N036550,1374,1540,1598,2,1249,272,571,116,159
N036610,3304,1183,703,0,279,162,629,284,328
N036997,473,353,278,3818,329,172,20,2014,112
N037054,3410,1005,388,2,243,1598,286,376,244
N037186,649,2952,2189,2008,66,176,287,53,35
